,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,3772317.0,2025.497218,1.0,8.61,2.97,-3.9,-30.56,-32.06,5.75,-2.94,8.0,0.63,-0.4903641696761121,-0.01882135005057406,-0.08891409397059746,-110.37004645806756,4.11472114096103,-64.53868567478604,-0.19899999999999998,-0.821,0.0359,-0.5339
1,3772317.0,2025.497218,1.0,8.61,2.97,-3.9,-30.56,-32.06,5.75,-2.94,8.0,0.63,-0.4903641696761121,-0.01882135005057406,-0.08891409397059746,-110.37004645806756,4.11472114096103,-64.53868567478604,-0.19899999999999998,-0.821,0.0359,-0.5339
2,3772354.0,2025.506972,1.0,8.88,2.83,-4.38,-31.37,-32.88,5.75,2.88,4.88,0.44,-0.7715226066373077,-0.3645449926450999,-0.4558818423761792,-110.26975406580357,4.034456312516312,-64.67425982878002,-0.1985,-0.8205,0.0352,-0.5349
3,3772354.0,2025.506972,1.0,8.88,2.83,-4.38,-31.37,-32.88,5.75,2.88,4.88,0.44,-0.7715226066373077,-0.3645449926450999,-0.4558818423761792,-110.26975406580357,4.034456312516312,-64.67425982878002,-0.1985,-0.8205,0.0352,-0.5349
4,3772387.0,2025.510304,1.0,8.65,2.89,-3.69,-31.37,-32.88,5.75,-6.5,6.56,3.44,-0.3159646902903409,-0.02497954742867225,-0.026469664516445945,-110.10954773943891,4.149120969117045,-64.79636344196814,-0.19899999999999998,-0.8197,0.0362,-0.5358
5,3772387.0,2025.510304,1.0,8.65,2.89,-3.69,-31.37,-32.88,5.75,-6.5,6.56,3.44,-0.3159646902903409,-0.02497954742867225,-0.026469664516445945,-110.10954773943891,4.149120969117045,-64.79636344196814,-0.19899999999999998,-0.8197,0.0362,-0.5358
6,3772422.0,2025.5557820000001,1.0,8.64,2.85,-3.76,-30.56,-32.5,5.75,-7.31,12.44,4.63,-0.4524675884901038,-0.10073788191139467,-0.02670268158902012,-109.63083923692189,4.298191253728037,-65.24478588422559,-0.2,-0.8173,0.0375,-0.5391
7,3772422.0,2025.5557820000001,1.0,8.64,2.85,-3.76,-30.56,-32.5,5.75,-7.31,12.44,4.63,-0.4524675884901038,-0.10073788191139467,-0.02670268158902012,-109.63083923692189,4.298191253728037,-65.24478588422559,-0.2,-0.8173,0.0375,-0.5391
8,3772456.0,2025.5860910000001,1.0,8.6,3.09,-3.32,-30.19,-32.5,5.25,-12.56,23.44,0.31,-0.2605578269051142,0.2374727494802156,0.09036386217487014,-108.93776167014931,4.412865642375664,-65.81713593554738,-0.2027,-0.8138,0.0385,-0.5433
9,3772456.0,2025.5860910000001,1.0,8.6,3.09,-3.32,-30.19,-32.5,5.25,-12.56,23.44,0.31,-0.2605578269051142,0.2374727494802156,0.09036386217487014,-108.93776167014931,4.412865642375664,-65.81713593554738,-0.2027,-0.8138,0.0385,-0.5433
10,3772491.0,2025.632608,1.0,8.7,3.02,-3.38,-30.19,-32.5,5.25,-13.81,14.69,-2.56,-0.33864687693335777,0.07984454487549543,0.0028883167787636665,-108.34833475115198,4.424333322525307,-66.29551072464068,-0.2053,-0.8108,0.0386,-0.5468
11,3772491.0,2025.632608,1.0,8.7,3.02,-3.38,-30.19,-32.5,5.25,-13.81,14.69,-2.56,-0.33864687693335777,0.07984454487549543,0.0028883167787636665,-108.34833475115198,4.424333322525307,-66.29551072464068,-0.2053,-0.8108,0.0386,-0.5468
12,3772526.0,2025.6501719999999,1.0,8.6,3.88,-3.06,-31.69,-32.06,4.06,-36.94,28.06,-22.87,-0.4784506540950961,0.7989345598516773,-0.06810511294688304,-107.23982794355229,4.4587366294239885,-66.87128845427674,-0.2162,-0.8051,0.0389,-0.551
13,3772526.0,2025.6501719999999,1.0,8.6,3.88,-3.06,-31.69,-32.06,4.06,-36.94,28.06,-22.87,-0.4784506540950961,0.7989345598516773,-0.06810511294688304,-107.23982794355229,4.4587366294239885,-66.87128845427674,-0.2162,-0.8051,0.0389,-0.551
14,3772561.0,2025.6968219999999,1.0,7.82,5.12,-1.34,-31.0,-32.5,2.5,-78.19,50.75,-67.06,0.08209676081671767,2.1535416941529557,0.6132872695619032,-104.57685468499146,3.7592774051414257,-67.90425219273371,-0.2474,-0.7911,0.0328,-0.5585
15,3772561.0,2025.6968219999999,1.0,7.82,5.12,-1.34,-31.0,-32.5,2.5,-78.19,50.75,-67.06,0.08209676081671767,2.1535416941529557,0.6132872695619032,-104.57685468499146,3.7592774051414257,-67.90425219273371,-0.2474,-0.7911,0.0328,-0.5585
16,3772598.0,2025.717918,1.0,8.69,5.53,-1.83,-29.87,-34.38,0.0,-116.31,96.31,-127.12,-0.5070675919442402,1.2005651283224954,-0.5734957518599355,-100.76167247514276,2.269061145645111,-69.40285407677956,-0.2864,-0.7703,0.0198,-0.5693
17,3772598.0,2025.717918,1.0,8.69,5.53,-1.83,-29.87,-34.38,0.0,-116.31,96.31,-127.12,-0.5070675919442402,1.2005651283224954,-0.5734957518599355,-100.76167247514276,2.269061145645111,-69.40285407677956,-0.2864,-0.7703,0.0198,-0.5693
18,3772633.0,2025.801563,1.0,7.77,4.07,0.46,-29.87,-34.38,0.0,-111.94,115.37,-137.94,1.2937249314297423,0.18935064297933654,1.121039938766511,-94.95296950362922,-0.5615008861828721,-71.2954433395492,-0.3423,-0.737,-0.0049,-0.5828
19,3772633.0,2025.801563,1.0,7.77,4.07,0.46,-29.87,-34.38,0.0,-111.94,115.37,-137.94,1.2937249314297423,0.18935064297933654,1.121039938766511,-94.95296950362922,-0.5615008861828721,-71.2954433395492,-0.3423,-0.737,-0.0049,-0.5828
20,3772669.0,2025.814723,1.0,7.02,3.28,4.97,-26.5,-35.88,-4.19,-165.31,285.63,-105.31,4.5889575044473965,1.2303265899005158,1.922015226939191,-87.13363050750904,-2.8994758203914888,-75.75858878812349,-0.3839,-0.6892,-0.0253,-0.614
21,3772669.0,2025.814723,1.0,7.02,3.28,4.97,-26.5,-35.88,-4.19,-165.31,285.63,-105.31,4.5889575044473965,1.2303265899005158,1.922015226939191,-87.13363050750904,-2.8994758203914888,-75.75858878812349,-0.3839,-0.6892,-0.0253,-0.614
22,3772706.0,2025.860459,1.0,10.38,8.9,-0.59,-21.19,-38.5,-10.88,-226.63,331.44,-104.56,-4.849129976235963,-2.0902178127785827,-2.819490660103268,-69.58415236536644,-5.5598717686300585,-86.07862420393977,-0.4542,-0.5706,-0.0485,-0.6825
23,3772706.0,2025.860459,1.0,10.38,8.9,-0.59,-21.19,-38.5,-10.88,-226.63,331.44,-104.56,-4.849129976235963,-2.0902178127785827,-2.819490660103268,-69.58415236536644,-5.5598717686300585,-86.07862420393977,-0.4542,-0.5706,-0.0485,-0.6825
24,3772743.0,2025.868357,1.0,8.74,5.29,1.31,-21.19,-38.5,-10.88,-9.94,154.44,-59.63,-1.970410679997719,-3.048970963225909,0.16771552478147633,-63.98388526065868,-8.062436803571838,-88.88610446361312,-0.4733,-0.5298,-0.0703,-0.7002
25,3772743.0,2025.868357,1.0,8.74,5.29,1.31,-21.19,-38.5,-10.88,-9.94,154.44,-59.63,-1.970410679997719,-3.048970963225909,0.16771552478147633,-63.98388526065868,-8.062436803571838,-88.88610446361312,-0.4733,-0.5298,-0.0703,-0.7002
26,3772778.0,2025.9309920000003,1.0,5.93,5.59,6.51,-12.19,-36.19,-24.5,-120.31,110.94,-116.69,1.4339518826177995,0.2680273198233434,-0.521227001308894,-58.05115338810375,-10.396251161173769,-90.534939503876,-0.5016,-0.4852,-0.0906,-0.7104
27,3772778.0,2025.9309920000003,1.0,5.93,5.59,6.51,-12.19,-36.19,-24.5,-120.31,110.94,-116.69,1.4339518826177995,0.2680273198233434,-0.521227001308894,-58.05115338810375,-10.396251161173769,-90.534939503876,-0.5016,-0.4852,-0.0906,-0.7104
28,3772813.0,2025.99049,1.0,4.74,6.02,7.27,-7.0,-36.19,-24.87,-133.56,188.06,-90.31,0.7291821784950168,0.4534862005237605,-0.7206261727096201,-49.47984477339551,-11.985198208002226,-92.5722802515405,-0.5399,-0.4185,-0.1044,-0.7228
29,3772813.0,2025.99049,1.0,4.74,6.02,7.27,-7.0,-36.19,-24.87,-133.56,188.06,-90.31,0.7291821784950168,0.4534862005237605,-0.7206261727096201,-49.47984477339551,-11.985198208002226,-92.5722802515405,-0.5399,-0.4185,-0.1044,-0.7228
30,3772850.0,2025.998709,1.0,4.07,6.47,6.78,-0.19,-34.0,-29.06,-107.87,171.25,-60.19,-0.6506482446486599,0.1850242983292678,-0.3882812342341655,-42.97521768410124,-13.588001782657653,-94.93601676687223,-0.5557,-0.3663,-0.1183,-0.7369
31,3772850.0,2025.998709,1.0,4.07,6.47,6.78,-0.19,-34.0,-29.06,-107.87,171.25,-60.19,-0.6506482446486599,0.1850242983292678,-0.3882812342341655,-42.97521768410124,-13.588001782657653,-94.93601676687223,-0.5557,-0.3663,-0.1183,-0.7369
32,3772884.0,2026.0181949999999,1.0,3.04,6.69,7.65,-0.19,-34.0,-29.06,-69.56,112.62,-68.81,-0.8142157750154183,0.5022321077646619,-0.7576775025742339,-37.10820677500307,-14.927627478593793,-95.70162205923631,-0.5764,-0.3182,-0.1299,-0.7414
