,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,2620377.0,1341.4992630000002,1.0,5.49,-3.54,-7.78,-36.06,-12.0,19.69,1.5,-1.19,-0.5,-0.02230660090871575,0.4432287781456936,-0.3423967860671251,-125.1215196986378,35.973855599658116,-38.07658496090942,0.10300000000000001,-0.8875,0.3088,-0.3262
1,2620377.0,1341.4992630000002,1.0,5.49,-3.54,-7.78,-36.06,-12.0,19.69,1.5,-1.19,-0.5,-0.02230660090871575,0.4432287781456936,-0.3423967860671251,-125.1215196986378,35.973855599658116,-38.07658496090942,0.10300000000000001,-0.8875,0.3088,-0.3262
2,2620411.0,1341.545082,1.0,5.18,-3.89,-7.63,-36.06,-12.0,19.69,3.44,-2.5,-0.19,0.05730112507988173,-0.007136593028502114,-0.2022493226080844,-125.17127559163816,35.9015751355927,-38.04022025359053,0.1039,-0.8877,0.3082,-0.3259
3,2620411.0,1341.545082,1.0,5.18,-3.89,-7.63,-36.06,-12.0,19.69,3.44,-2.5,-0.19,0.05730112507988173,-0.007136593028502114,-0.2022493226080844,-125.17127559163816,35.9015751355927,-38.04022025359053,0.1039,-0.8877,0.3082,-0.3259
4,2620446.0,1341.570461,1.0,4.85,-4.05,-7.6,-36.06,-12.0,19.69,0.0,1.31,0.63,-0.0410612906966738,-0.3311803093827104,-0.07128670627036549,-125.19616916396942,35.9015751355927,-38.015979325491685,0.1041,-0.8878,0.3082,-0.3257
5,2620446.0,1341.570461,1.0,4.85,-4.05,-7.6,-36.06,-12.0,19.69,0.0,1.31,0.63,-0.0410612906966738,-0.3311803093827104,-0.07128670627036549,-125.19616916396942,35.9015751355927,-38.015979325491685,0.1041,-0.8878,0.3082,-0.3257
6,2620483.0,1341.666371,1.0,5.27,-3.66,-8.0,-36.06,-11.56,18.5,-4.44,-2.13,2.69,-0.2199790894930639,0.2156531262541419,-0.4438915920000355,-125.1215196986378,36.07025258875129,-37.979621244835975,0.1028,-0.8875,0.3096,-0.3254
7,2620483.0,1341.666371,1.0,5.27,-3.66,-8.0,-36.06,-11.56,18.5,-4.44,-2.13,2.69,-0.2199790894930639,0.2156531262541419,-0.4438915920000355,-125.1215196986378,36.07025258875129,-37.979621244835975,0.1028,-0.8875,0.3096,-0.3254
8,2620518.0,1341.674243,1.0,5.2,-3.74,-7.88,-34.56,-12.38,19.25,1.75,0.25,0.12,-0.1520781476953384,0.1207816077499233,-0.3463930926014971,-125.1215196986378,36.04615086901799,-37.9917401637673,0.1034,-0.8875,0.3094,-0.3255
9,2620518.0,1341.674243,1.0,5.2,-3.74,-7.88,-34.56,-12.38,19.25,1.75,0.25,0.12,-0.1520781476953384,0.1207816077499233,-0.3463930926014971,-125.1215196986378,36.04615086901799,-37.9917401637673,0.1034,-0.8875,0.3094,-0.3255
10,2620553.0,1341.680032,1.0,4.98,-3.56,-7.68,-34.56,-12.38,19.25,-0.69,-0.44,0.69,-0.2302520468554489,0.13510261046417993,-0.01094294733514012,-125.1463924412778,36.07025258875129,-37.919033262141134,0.1034,-0.8876,0.3096,-0.3249
11,2620553.0,1341.680032,1.0,4.98,-3.56,-7.68,-34.56,-12.38,19.25,-0.69,-0.44,0.69,-0.2302520468554489,0.13510261046417993,-0.01094294733514012,-125.1463924412778,36.07025258875129,-37.919033262141134,0.1034,-0.8876,0.3096,-0.3249
12,2620588.0,1341.730904,1.0,4.94,-3.71,-7.67,-35.25,-11.56,18.5,1.88,0.88,-1.31,-0.1733860118183707,-0.008226611412591733,-0.04050540721128115,-125.17127559163816,36.04615086901799,-37.9069169867096,0.1034,-0.8877,0.3094,-0.3248
13,2620588.0,1341.730904,1.0,4.94,-3.71,-7.67,-35.25,-11.56,18.5,1.88,0.88,-1.31,-0.1733860118183707,-0.008226611412591733,-0.04050540721128115,-125.17127559163816,36.04615086901799,-37.9069169867096,0.1034,-0.8877,0.3094,-0.3248
14,2620624.0,1341.7400519999999,1.0,4.9,-3.91,-7.57,-35.69,-11.56,19.69,-0.81,-0.19,1.69,-0.03243879536673644,-0.18692654226052152,-0.02020128575545677,-125.19616916396942,36.058201522641504,-37.88268575548643,0.1034,-0.8878,0.3095,-0.3246
15,2620624.0,1341.7400519999999,1.0,4.9,-3.91,-7.57,-35.69,-11.56,19.69,-0.81,-0.19,1.69,-0.03243879536673644,-0.18692654226052152,-0.02020128575545677,-125.19616916396942,36.058201522641504,-37.88268575548643,0.1034,-0.8878,0.3095,-0.3246
16,2620659.0,1341.799057,1.0,5.09,-3.5,-7.42,-35.69,-11.56,19.69,-0.31,-3.44,1.37,-0.0012741437840587955,0.2633361011317472,0.15547636803179546,-125.22107317255428,36.1305141127441,-37.7615559445365,0.1033,-0.8879,0.3101,-0.3236
17,2620659.0,1341.799057,1.0,5.09,-3.5,-7.42,-35.69,-11.56,19.69,-0.31,-3.44,1.37,-0.0012741437840587955,0.2633361011317472,0.15547636803179546,-125.22107317255428,36.1305141127441,-37.7615559445365,0.1033,-0.8879,0.3101,-0.3236
18,2620694.0,1341.8038279999998,1.0,5.02,-4.1,-7.84,-36.06,-10.88,19.69,2.25,2.06,-1.81,-0.02677262684398285,-0.2651668377239278,-0.362173421351331,-125.27091255577452,36.058201522641504,-37.79789028318413,0.1033,-0.8881,0.3095,-0.3239
19,2620694.0,1341.8038279999998,1.0,5.02,-4.1,-7.84,-36.06,-10.88,19.69,2.25,2.06,-1.81,-0.02677262684398285,-0.2651668377239278,-0.362173421351331,-125.27091255577452,36.058201522641504,-37.79789028318413,0.1033,-0.8881,0.3095,-0.3239
20,2620731.0,1341.8071519999999,1.0,4.84,-3.6,-7.53,-36.06,-12.0,18.87,-0.25,-0.37,2.0,-0.17613207895738806,0.027206541100744053,0.16016165994155607,-125.22107317255428,36.1305141127441,-37.785778398919184,0.1033,-0.8879,0.3101,-0.3238
21,2620731.0,1341.8071519999999,1.0,4.84,-3.6,-7.53,-36.06,-12.0,18.87,-0.25,-0.37,2.0,-0.17613207895738806,0.027206541100744053,0.16016165994155607,-125.22107317255428,36.1305141127441,-37.785778398919184,0.1033,-0.8879,0.3101,-0.3238
22,2620766.0,1341.850506,1.0,5.21,-3.8,-7.82,-35.69,-11.25,19.25,-0.5,-1.5,-1.12,-0.042026189745132995,0.09272091709114384,-0.3287403048135875,-125.22107317255428,36.10640826375515,-37.77366695276425,0.1033,-0.8879,0.3099,-0.3237
23,2620766.0,1341.850506,1.0,5.21,-3.8,-7.82,-35.69,-11.25,19.25,-0.5,-1.5,-1.12,-0.042026189745132995,0.09272091709114384,-0.3287403048135875,-125.22107317255428,36.10640826375515,-37.77366695276425,0.1033,-0.8879,0.3099,-0.3237
24,2620801.0,1341.9091230000001,1.0,5.06,-4.13,-7.89,-35.69,-11.25,19.25,-2.63,-1.81,0.5,0.0076801921391051456,-0.26070643884753,-0.4327139044323509,-125.29584795913513,36.16667598822457,-37.65257654707046,0.1028,-0.8882,0.3104,-0.3227
25,2620801.0,1341.9091230000001,1.0,5.06,-4.13,-7.89,-35.69,-11.25,19.25,-2.63,-1.81,0.5,0.0076801921391051456,-0.26070643884753,-0.4327139044323509,-125.29584795913513,36.16667598822457,-37.65257654707046,0.1028,-0.8882,0.3104,-0.3227
26,2620837.0,1341.982891,1.0,5.03,-3.2,-7.69,-35.69,-11.25,19.25,0.37,1.19,0.88,-0.32988832157003745,0.4584903227877426,0.09284743256011474,-125.27091255577452,36.23901092380315,-37.62836370499113,0.1027,-0.8881,0.311,-0.3225
27,2620837.0,1341.982891,1.0,5.03,-3.2,-7.69,-35.69,-11.25,19.25,0.37,1.19,0.88,-0.32988832157003745,0.4584903227877426,0.09284743256011474,-125.27091255577452,36.23901092380315,-37.62836370499113,0.1027,-0.8881,0.311,-0.3225
28,2620874.0,1342.036634,1.0,5.22,-3.91,-7.99,-35.25,-12.0,19.25,5.0,-1.88,-2.94,-0.07967004195924443,0.006400190330595468,-0.5069435406616627,-125.29584795913513,36.07025258875129,-37.71311628724267,0.1031,-0.8882,0.3096,-0.3232
29,2620874.0,1342.036634,1.0,5.22,-3.91,-7.99,-35.25,-12.0,19.25,5.0,-1.88,-2.94,-0.07967004195924443,0.006400190330595468,-0.5069435406616627,-125.29584795913513,36.07025258875129,-37.71311628724267,0.1031,-0.8882,0.3096,-0.3232
30,2620907.0,1342.073535,1.0,4.91,-3.73,-7.6,-35.25,-12.0,19.25,-2.69,-3.94,3.06,-0.08984395172180815,-0.024012369629371918,0.02031506446648557,-125.37071718924679,36.09435595913239,-37.616257937648726,0.1035,-0.8885,0.3098,-0.3224
31,2620907.0,1342.073535,1.0,4.91,-3.73,-7.6,-35.25,-12.0,19.25,-2.69,-3.94,3.06,-0.08984395172180815,-0.024012369629371918,0.02031506446648557,-125.37071718924679,36.09435595913239,-37.616257937648726,0.1035,-0.8885,0.3098,-0.3224
32,2620942.0,1342.089469,1.0,4.86,-3.49,-8.0,-35.0,-11.25,19.69,-3.25,-3.44,2.0,-0.4642904238181185,0.1380593864656614,-0.17158000377118476,-125.42068267085124,36.19078597526285,-37.45892253150342,0.1034,-0.8887,0.3106,-0.3211
33,2620942.0,1342.089469,1.0,4.86,-3.49,-8.0,-35.0,-11.25,19.69,-3.25,-3.44,2.0,-0.4642904238181185,0.1380593864656614,-0.17158000377118476,-125.42068267085124,36.19078597526285,-37.45892253150342,0.1034,-0.8887,0.3106,-0.3211
34,2620977.0,1342.0924029999999,1.0,4.55,-3.4,-7.55,-35.69,-11.25,18.5,-12.38,-11.31,4.0,-0.3556280661556992,0.032459421178583366,0.3653855155922532,-125.59589546247182,36.28724251436374,-37.14447095017847,0.1028,-0.8894,0.3114,-0.3185
35,2620977.0,1342.0924029999999,1.0,4.55,-3.4,-7.55,-35.69,-11.25,18.5,-12.38,-11.31,4.0,-0.3556280661556992,0.032459421178583366,0.3653855155922532,-125.59589546247182,36.28724251436374,-37.14447095017847,0.1028,-0.8894,0.3114,-0.3185
36,2621014.0,1342.128715,1.0,4.13,-3.73,-6.35,-35.69,-11.56,19.25,-9.06,0.69,-4.31,0.371690990479996,-0.4862158723753494,1.3853828784175075,-125.87228808096123,36.34754136011127,-36.79407807568971,0.1005,-0.8905,0.3119,-0.3156
37,2621014.0,1342.128715,1.0,4.13,-3.73,-6.35,-35.69,-11.56,19.25,-9.06,0.69,-4.31,0.371690990479996,-0.4862158723753494,1.3853828784175075,-125.87228808096123,36.34754136011127,-36.79407807568971,0.1005,-0.8905,0.3119,-0.3156
38,2621048.0,1342.151789,1.0,3.57,-4.03,-5.15,-35.69,-11.56,19.25,-24.44,17.12,-8.69,0.9449609889315006,-1.124905033708001,2.502545852704727,-125.89747938631321,36.37166381418113,-36.951106460626896,0.0946,-0.8906,0.3121,-0.3169
39,2621048.0,1342.151789,1.0,3.57,-4.03,-5.15,-35.69,-11.56,19.25,-24.44,17.12,-8.69,0.9449609889315006,-1.124905033708001,2.502545852704727,-125.89747938631321,36.37166381418113,-36.951106460626896,0.0946,-0.8906,0.3121,-0.3169
40,2621085.0,1342.15684,1.0,3.71,-4.7,-3.27,-34.56,-12.0,20.06,-52.75,49.63,-34.5,2.5246684686282124,-1.7140079798153904,3.7045826643633593,-125.77163105081793,36.1305141127441,-37.9069169867096,0.0773,-0.8901,0.3101,-0.3248
41,2621085.0,1342.15684,1.0,3.71,-4.7,-3.27,-34.56,-12.0,20.06,-52.75,49.63,-34.5,2.5246684686282124,-1.7140079798153904,3.7045826643633593,-125.77163105081793,36.1305141127441,-37.9069169867096,0.0773,-0.8901,0.3101,-0.3248
42,2621120.0,1342.215642,1.0,4.55,-4.99,-3.52,-35.0,-13.06,18.06,-70.62,108.0,-37.44,2.9452921351994696,-1.7697840572011678,3.010613020317745,-124.99731160468365,35.877484931095594,-39.72937892373464,0.0531,-0.887,0.308,-0.3398
43,2621120.0,1342.215642,1.0,4.55,-4.99,-3.52,-35.0,-13.06,18.06,-70.62,108.0,-37.44,2.9452921351994696,-1.7697840572011678,3.010613020317745,-124.99731160468365,35.877484931095594,-39.72937892373464,0.0531,-0.887,0.308,-0.3398
44,2621155.0,1342.301588,1.0,7.4,-3.22,-6.38,-35.0,-13.06,18.06,-88.87,117.5,-10.38,1.5509023479445652,0.2384127272724912,-0.3604863361870265,-122.3984110822012,36.44404119171296,-42.95058853731749,0.013999999999999999,-0.8763,0.3127,-0.3661
